Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821937	SRR7821938	SRR7821939	SRR7821949	SRR7821950	SRR7821951	SRR7821952	SRR7821953	SRR7821968	SRR7821969	SRR7821970
ENSMUSG00000020530	3217	3462	3144	3822	3638	3527	2251	3994	2192	1733	2532	1832	1614	1123	451	916
ENSMUSG00000045140	172	140	164	218	156	169	94	237	143	109	112	102	98	110	31	107
ENSMUSG00000019590	2645	2557	2518	2807	2962	3186	3981	3608	3	10	19	9	20	150	30	38
ENSMUSG00000103469	39	32	54	36	61	135	255	187	1	2	1	0	0	0	0	1
ENSMUSG00000085297	5	5	3	3	4	9	4	8	0	0	1	0	0	17	0	8
ENSMUSG00000020523	1604	1377	1368	1675	1336	2382	2280	2527	929	743	1086	723	608	668	334	617
ENSMUSG00000020522	1749	2005	1618	2210	1953	1950	1604	2359	1649	1198	1857	1454	1158	859	339	525
ENSMUSG00000086028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020527	338	356	298	447	368	495	409	518	217	126	143	146	92	58	53	36
ENSMUSG00002075861	0	1	0	7	1	7	5	2	0	0	0	2	0	0	0	0
ENSMUSG00000020526	267	213	176	259	255	339	240	305	109	83	97	94	59	35	28	38
ENSMUSG00000020520	707	688	516	703	439	931	1027	908	946	739	933	751	408	627	535	596
ENSMUSG00000086933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077155	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0
ENSMUSG00002075530	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000087165	72	54	43	80	41	101	98	103	46	37	43	27	44	56	17	36
ENSMUSG00000020519	558	427	408	480	522	689	773	656	467	320	496	264	354	184	127	145
ENSMUSG00000000805	2270	2138	1567	2014	1583	5055	6004	5612	2	2	9	6	8	131	150	94
ENSMUSG00000037335	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
ENSMUSG00000084223	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
